Season,Player,Team,Pos,name
2017,Khalil Mack,OAK,DE,K.Mack
2017,Lee Smith,OAK,TE,L.Smith
2017,Mario Edwards,OAK,DE,M.Edwards
2017,Marquel Lee,OAK,MLB,M.Lee
2017,Marquette King,OAK,P,M.King
2017,Marshawn Lynch,OAK,RB,M.Lynch
2017,Michael Crabtree,OAK,WR,M.Crabtree
2017,NaVorro Bowman,OAK,MLB,N.Bowman
2017,Nicholas Morrow,OAK,LB,N.Morrow
2017,Reggie Nelson,OAK,FS,R.Nelson
2017,Sean Smith,OAK,CB,S.Smith
2017,Seth Roberts,OAK,WR,S.Roberts
2017,Shalom Luani,OAK,SAF,S.Luani
2017,Shilique Calhoun,OAK,LB,S.Calhoun
2017,T.J. Carrie,OAK,CB,T.Carrie
2017,Treyvon Hester,OAK,DT,T.Hester
2017,Tyrell Adams,OAK,LB,T.Adams
2017,Xavier Woodson-Luster,OAK,LB,X.Woodson-Luster
2017,Aaron Wallace,TEN,OLB,A.Wallace
2017,Adoree' Jackson,TEN,CB,A.Jackson
2017,Austin Johnson,TEN,NT,A.Johnson
2017,Avery Williamson,TEN,ILB,A.Williamson
2017,Brett Kern,TEN,P,B.Kern
2017,Brian Orakpo,TEN,OLB,B.Orakpo
2017,Brice McCain,TEN,CB,B.McCain
2017,Brynden Trawick,TEN,DB,B.Trawick
2017,Corey Davis,TEN,WR,C.Davis
2017,Curtis Riley,TEN,CB,C.Riley
2017,Da'Norris Searcy,TEN,SS,D.Searcy
2017,DaQuan Jones,TEN,DE,D.Jones
2017,Daren Bates,TEN,LB,D.Bates
2017,David Fluellen,TEN,RB,D.Fluellen
2017,David King,TEN,DE,D.King
2017,Delanie Walker,TEN,TE,D.Walker
2017,DeMarco Murray,TEN,RB,D.Murray
2017,Derrick Henry,TEN,RB,D.Henry
2017,Derrick Morgan,TEN,OLB,D.Morgan
2017,Eric Decker,TEN,WR,E.Decker
2017,Eric Weems,TEN,WR,E.Weems
2017,Erik Walden,TEN,LB,E.Walden
2017,Jalston Fowler,TEN,FB,J.Fowler
2017,Jayon Brown,TEN,LB,J.Brown
2017,Johnathan Cyprien,TEN,SS,J.Cyprien
2017,Jonnu Smith,TEN,TE,J.Smith
2017,Josh Carraway,TEN,OLB,J.Carraway
2017,Jurrell Casey,TEN,DE,J.Casey
2017,Kalan Reed,TEN,DB,K.Reed
2017,Karl Klug,TEN,DE,K.Klug
2017,Kevin Byard,TEN,FS,K.Byard
2017,Kevin Dodd,TEN,OLB,K.Dodd
2017,LeShaun Sims,TEN,CB,L.Sims
2017,Logan Ryan,TEN,CB,L.Ryan
2017,Marcus Mariota,TEN,QB,M.Mariota
2017,Matt Cassel,TEN,QB,M.Cassel
2017,Nate Palmer,TEN,LB,N.Palmer
2017,Phillip Supernaw,TEN,TE,P.Supernaw
2017,Rishard Matthews,TEN,WR,R.Matthews
2017,Ryan Succop,TEN,K,R.Succop
2017,Sylvester Williams,TEN,NT,S.Williams
2017,Taywan Taylor,TEN,WR,T.Taylor
2017,Tye Smith,TEN,CB,T.Smith
2017,Wesley Woodyard,TEN,ILB,W.Woodyard
2017,A.J. Bouye,JAX,CB,A.Bouye
2017,Aaron Colvin,JAX,CB,A.Colvin
2017,Abry Jones,JAX,DT,A.Jones
2017,Allen Hurns,JAX,WR,A.Hurns
2017,Allen Robinson,JAX,WR,A.Robinson
2017,Arrelious Benn,JAX,WR,A.Benn
2017,Barry Church,JAX,SS,B.Church
2017,Ben Koyack,JAX,TE,B.Koyack
2017,Blair Brown,JAX,LB,B.Brown
2017,Blake Bortles,JAX,QB,B.Bortles
2017,Brad Nortman,JAX,P,B.Nortman
2017,Calais Campbell,JAX,DE,C.Campbell
2017,Calvin Pryor,JAX,DB,C.Pryor
2017,Chad Henne,JAX,QB,C.Henne
2017,Chris Ivory,JAX,RB,C.Ivory
2017,Corey Grant,JAX,RB,C.Grant
2017,Dante Fowler,JAX,DE,D.Fowler
2017,Dawuane Smoot,JAX,DE,D.Smoot
2017,Donald Payne,JAX,LB,D.Payne
2017,Eli Ankou,JAX,DT,E.Ankou
2017,Jalen Myrick,JAX,CB,J.Myrick
